NielsenSegment,PS,PS3,PS2,PS0
ALLERGY TREATMENT,Allergy Treatment,Specials,IF,IMF
AMN,AMN,AMN,AMN,AMN
ANTI REFLUX,Anti Reflux,Specials,,IMF
BFO,BFO,Base,FO,IMF
BIF,BIF,Base,IF,IMF
BPFO,BPFO,Plus,FO,IMF
BPIF,BPIF,Plus,IF,IMF
CB-C,CB-C,Cereal Biscuits,Dry Food,Foods
CHEESE FOR BABY FLAVOURED,,,,
CHEESE FOR BABY FLAVOURED,,,,
CHEESE FOR BABY PLAIN,,,,
COTTAGE CHEESE,Cottage Cheese,Dairy/desserts,Wet Food,Foods
DIGESTIVE COMFORT,Digestive Comfort,Specials,,IMF
DR-NL,DR-NL,Specials,,IMF
FERMENTED DRINKS FOR BABY,,,,
FRUIT,Fruit,Fruits,Wet Food,Foods
FRUIT PLUS,Fruit Plus,Fruits,Wet Food,Foods
GOAT,Goat,Specials,,IMF
GUM BASE,Gum Base,Base,Gum,IMF
GUM SPECIALS,Gum Specials,Specials,Gum,IMF
HYPOALLERGENIC,Hypoallergenic,Specials,,IMF
IMC,IMC,Instant Cereals,Dry Food,Foods
IPC,IPC,Instant Cereals,Dry Food,Foods
KASHA FOR BABY,,,,
MEAT MEAL,Meat Meal,Savoury Meal,Wet Food,Foods
MILK FOR BABY,,,,
NON DAIRY,Non Dairy,Dairy/desserts,Wet Food,Foods
OTHER DAIRY,Other Dairy,Dairy/desserts,Wet Food,Foods
PRETERM,Preterm,Specials,,IMF
SOUPS,Soups,Savoury Meal,Wet Food,Foods
SOY,Soy,Specials,,IMF
VEGGIE MEAL,Veggie Meal,Savoury Meal,Wet Food,Foods
YOGHURT,Yoghurt,Dairy/desserts,Wet Food,Foods
YOGURT DRINKABLE,Yoghurt,Dairy/desserts,Wet Food,Foods
YOGURT SPOONABLE,Yoghurt,Dairy/desserts,Wet Food,Foods
